@relation camel.1.4
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute defects numeric
@data
8,2,0,8,31,28,1,7,1,2,394,0,0,0.588235294,0.347222222,1,1,48.25,7,3.125,1
5,0,0,9,17,10,2,8,2,2,97,0,0,0,0.45,0,0,18.4,2,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
13,3,0,41,73,50,5,41,5,0.892857143,344,0.714285714,0,0.64516129,0.25,1,1,24.92307692,5,1.6154,0
7,2,0,6,13,17,4,2,7,0.75,46,1,1,0.333333333,0.428571429,0,0,5.285714286,1,0.8571,0
6,1,6,11,14,15,7,4,5,2,52,0,0,0,0.541666667,0,0,7.666666667,2,1,0
10,4,0,11,25,45,3,11,8,1,101,1,0,0.844444444,0.314814815,0,0,9,1,0.7,0
18,1,0,29,59,119,4,28,6,0.705882353,350,1,1,0,0.235294118,0,0,18.27777778,6,1.6111,0
31,1,0,10,49,379,8,2,29,0.855555556,328,1,0,0,0.3,0,0,9.290322581,8,1.3548,4
5,1,0,12,26,2,2,10,3,0.583333333,154,1,0,0.571428571,0.5,1,1,29.2,1,0.6,0
6,2,0,15,25,5,2,13,3,0.6,88,1,2,0.722222222,0.416666667,1,1,13.33333333,1,0.8333,2
1,2,0,1,2,0,0,1,1,2,7,1,0,1,1,0,0,3,0,0,0
2,3,0,8,11,0,1,8,2,0,37,1,1,0.952380952,0.666666667,0,0,17,1,0.5,0
9,4,0,14,40,22,3,12,8,0.708333333,244,1,1,0.950310559,0.259259259,1,2,25.77777778,11,2.2222,0
2,1,0,3,4,1,1,2,2,2,10,0,0,0,0.666666667,0,0,4,1,0.5,0
4,2,0,4,7,4,3,1,2,0.916666667,56,0.25,4,0.857142857,0.444444444,1,1,12,1,0.5,0
9,0,0,5,24,0,1,4,9,0,213,1,0,0,0.37037037,0,0,22.55555556,1,0.8889,0
14,0,0,16,32,69,4,13,9,0.857142857,165,1,2,0,0.221153846,0,0,10.28571429,3,1.2143,0
2,4,0,3,4,1,2,1,2,2,12,1,0,1,0.833333333,0,0,4.5,0,0,0
4,1,0,9,12,2,3,7,3,0.666666667,52,1,3,0,0.4,0,0,11.25,1,0.75,0
18,1,0,5,49,87,1,4,13,0.694117647,317,1,0,0,0.317647059,0,0,16.33333333,5,1.2778,0
5,1,0,2,7,4,0,2,4,0.5,25,1,0,0,0.6,0,0,3.8,1,0.8,0
2,1,0,6,6,0,1,5,2,0,31,1,0,0,0.625,0,0,14,1,0.5,0
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2,0,4,7,0,1,3,2,0,27,1,0,0.928571429,0.666666667,1,1,7.666666667,1,0.3333,0
7,4,0,9,16,21,3,6,7,2,45,0,0,0.975308642,0.392857143,3,4,5.428571429,1,0.5714,1
5,3,0,8,17,0,1,7,4,0.416666667,82,1,1,0.913043478,0.5,0,0,14.8,1,0.4,0
3,4,0,8,15,3,0,8,1,2,52,0,0,0.948717949,0.666666667,2,2,16.33333333,1,0.6667,0
7,2,0,7,26,0,1,6,5,0.166666667,152,1,1,0.684210526,0.357142857,1,1,20.42857143,4,1.2857,0
3,3,0,7,10,3,4,3,2,2,32,0,0,0.9,0.666666667,0,0,9.666666667,1,0.6667,0
11,4,0,8,23,51,1,8,11,0.6,96,1,0,0.957575758,0.345454545,2,3,7.545454545,1,0.6364,1
2,1,0,6,10,0,1,5,2,0,46,1,1,0,0.666666667,0,0,21.5,1,0.5,0
4,1,0,2,5,0,2,0,4,0.333333333,21,1,0,0,0.75,0,0,4,1,0.5,0
6,1,0,16,52,9,6,10,3,0.6,297,0.5,0,0,0.35,0,0,48.16666667,7,3.5,0
9,3,0,9,20,26,1,9,6,0.84375,81,0.75,0,0.85,0.325,1,1,7.555555556,2,0.7778,0
3,1,0,5,9,1,2,5,3,0.5,28,1,1,0,0.555555556,0,0,8,1,0.6667,6
2,5,0,3,7,0,1,2,2,0,21,1,0,0.95,0.666666667,0,0,9,1,0.5,0
2,1,0,5,11,0,1,4,2,0,39,1,1,0,0.666666667,0,0,18,1,0.5,0
3,1,0,3,21,1,1,2,1,0.5,88,1,0,0,0.5,0,0,28,5,1.6667,0
23,1,0,22,40,247,11,21,23,0.924242424,118,1,3,0,0.178743961,0,0,4,1,0.9565,0
3,3,0,6,7,0,1,5,3,0,29,1,0,0.909090909,0.533333333,0,0,8.333333333,1,0.6667,0
10,1,0,9,20,41,0,9,7,0.666666667,96,1,1,0,0.314285714,0,0,8.4,2,1.1,0
5,3,0,14,29,0,1,14,2,0.5,129,1,1,0.88,0.4375,1,1,24.4,5,1.4,0
2,5,0,2,5,1,0,2,1,2,15,0,0,0.975,0.625,1,1,6.5,1,0.5,0
3,1,0,5,12,0,1,4,3,0.25,54,1,1,0,0.466666667,0,0,16.33333333,2,1,0
27,1,0,12,71,349,9,3,24,0.807692308,292,1,0,0,0.082840237,0,0,9.777777778,1,0.9259,3
21,4,0,19,52,160,5,19,13,0.8625,287,1,4,0.641509434,0.166666667,1,2,12.28571429,5,1.6667,0
5,1,0,4,11,0,2,2,5,0,43,1,1,0,0.6,0,0,7.4,1,0.8,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
19,1,0,72,19,171,67,9,19,2,19,0,0,0,0.157894737,0,0,0,1,1,1
6,3,0,8,37,3,1,8,4,0.666666667,150,1,1,0.814814815,0.305555556,1,1,23.5,1,0.8333,0
10,1,0,8,17,25,1,7,9,0.722222222,86,1,0,0,0.311111111,0,0,7.2,3,1,0
17,3,1,37,45,112,10,27,11,0.770833333,230,1,1,0.835294118,0.229166667,2,3,12.35294118,5,1.1765,0
5,1,0,16,8,6,13,3,5,0.625,31,1,1,0,0.466666667,0,0,4.8,1,0.8,0
10,4,0,4,19,7,1,3,9,0.666666667,120,1,0,0.789473684,0.425,1,2,10.6,1,0.8,3
3,2,0,13,17,3,0,13,3,1,70,1,2,0.75,0.666666667,0,0,21.33333333,3,2,0
13,2,0,18,42,26,1,18,9,0.738095238,183,1,2,0.333333333,0.230769231,0,0,12.53846154,5,1.3077,0
12,2,0,7,16,46,0,7,11,0.795454545,83,1,2,0.153846154,0.266666667,0,0,5.583333333,2,1,0
4,1,0,4,13,4,1,3,2,0.333333333,39,1,0,0,0.5,0,0,8.5,1,0.5,0
2,1,0,5,2,1,5,0,2,2,2,0,0,0,1,0,0,0,1,1,0
7,3,0,4,12,13,1,3,6,0.583333333,55,1,0,0.642857143,0.314285714,1,2,6.571428571,3,1,2
2,4,0,20,32,0,1,20,1,0.333333333,202,1,2,0.971428571,0.666666667,1,1,97,1,0.5,0
1,1,0,0,2,0,0,0,0,2,23,0,0,0,1,0,0,3,0,0,0
5,2,0,14,9,0,9,6,5,0,41,1,0,0.926829268,0.44,1,1,7,1,0.6,0
9,1,0,9,31,22,1,8,5,0.8125,140,1,2,0,0.285714286,0,0,13.88888889,3,1.2222,0
4,1,3,3,11,0,3,0,4,0.333333333,31,1,0,0,0.625,0,0,6.5,1,0.75,0
6,2,0,11,10,9,7,6,5,0.733333333,48,1,1,0.904761905,0.366666667,0,0,6.5,1,0.6667,0
45,3,0,22,81,814,7,19,39,0.909090909,555,1,1,0.402985075,0.146694215,1,2,11,7,1.1778,5
3,1,0,4,5,3,0,4,3,2,18,0,0,0,0.833333333,0,0,5,1,0.6667,0
9,4,0,9,23,0,3,7,9,0.25,94,1,0,0.969325153,0.277777778,2,3,9.333333333,1,0.5556,3
5,1,0,16,7,4,14,2,5,0.25,30,1,0,0,0.7,0,0,4.8,1,0.8,0
5,1,0,4,10,10,0,4,5,2,28,0,0,0,0.36,0,0,4.6,1,0.8,0
3,1,0,5,11,0,1,4,3,0,53,1,0,0,0.5,0,0,16.33333333,1,0.6667,0
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
8,2,0,8,25,14,1,7,7,0.642857143,105,1,1,0.666666667,0.326530612,0,0,11.875,1,0.375,1
5,3,0,18,47,2,2,18,3,0.5,172,1,1,0.846153846,0.466666667,1,1,33,1,0.8,0
3,1,0,7,13,0,1,6,2,0.5,72,1,0,0,0.6,0,0,22.33333333,6,2,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
28,2,0,25,74,362,3,24,24,0.91005291,323,0.857142857,1,0.479166667,0.148148148,1,2,10.28571429,2,1,0
8,1,0,15,54,0,3,14,2,0.428571429,378,1,0,0,0.342857143,0,0,45.875,5,1.875,0
2,5,0,3,7,0,2,1,2,0,25,1,0,0.944444444,0.666666667,0,0,11,1,0.5,0
2,3,1,4,4,1,2,3,1,2,11,0,0,0.971428571,0.666666667,1,1,4.5,1,0.5,0
17,1,0,21,34,136,4,17,16,2,138,0,0,0,0.196078431,0,0,7.117647059,1,0.9412,0
3,1,0,4,5,3,1,4,3,2,20,0,0,0,0.833333333,0,0,5.666666667,1,0.6667,0
15,2,0,20,21,89,6,18,15,0.944444444,123,1,0,0.621621622,0.138095238,1,1,6.6,1,0.9333,0
19,1,1,7,35,137,1,6,16,0.857142857,183,1,1,0,0.157894737,0,0,8.263157895,2,1,1
